               shift	                cell	              time_d	                  pH	             Olivine	           Enstatite	           Lizardite	           Magnesite	            Siderite	            Dolomite	       Rhodochrosite	                  Mg	                  Fe	                  Si	                   C	                HCO3	              MgHCO3	              FeHCO3	                 CO3	               CO2aq	          alkalinity	
  1.000000000000e+01	  0.000000000000e+00	  1.500000000000e+02	  8.304831873190e+00	  1.997787234739e-02	  3.215936285533e-02	  4.488372153564e-02	  0.000000000000e+00	  0.000000000000e+00	  1.924302593843e-03	  5.536244874898e-06	  3.749713128362e+01	  3.763701866911e-04	  7.595990816038e+00	  1.241424451387e+02	  1.206304391791e+02	  4.171841964350e-01	  1.741657316061e-11	  9.614712343516e-01	  1.588923012322e+00	  1.242205908084e+00	
  1.100000000000e+01	  0.000000000000e+00	  1.650000000000e+02	  8.305503101122e+00	  1.997167526873e-02	  3.215929915241e-02	  4.488309502913e-02	  0.000000000000e+00	  0.000000000000e+00	  1.930203656986e-03	  6.293042234954e-06	  3.819655961880e+01	  3.763911836292e-04	  8.353753373933e+00	  1.243431484070e+02	  1.208214225945e+02	  4.255644188680e-01	  1.739033653135e-11	  9.645888079237e-01	  1.588922246683e+00	  1.244384678037e+00	
  1.200000000000e+01	  0.000000000000e+00	  1.800000000000e+02	  8.306241116115e+00	  1.996548178710e-02	  3.215923545264e-02	  4.488246889057e-02	  0.000000000000e+00	  0.000000000000e+00	  1.936049369896e-03	  7.049774692547e-06	  3.890077983782e+01	  3.764144234544e-04	  9.111082464552e+00	  1.245638437996e+02	  1.210317372457e+02	  4.340818702242e-01	  1.736153148429e-11	  9.680275519869e-01	  1.588921407837e+00	  1.246769243948e+00	
  1.300000000000e+01	  0.000000000000e+00	  1.950000000000e+02	  8.307046277086e+00	  1.995929211830e-02	  3.215917175632e-02	  4.488184315381e-02	  0.000000000000e+00	  0.000000000000e+00	  1.941838924418e-03	  7.806412326467e-06	  3.960982506366e+01	  3.764399644764e-04	  9.867949678653e+00	  1.248047459661e+02	  1.212615864939e+02	  4.427411314115e-01	  1.733015709060e-11	  9.717925382031e-01	  1.588920494982e+00	  1.249361887820e+00	
  1.400000000000e+01	  0.000000000000e+00	  2.100000000000e+02	  8.307918972740e+00	  1.995310647861e-02	  3.215910806373e-02	  4.488121785279e-02	  0.000000000000e+00	  0.000000000000e+00	  1.947571459673e-03	  8.562924883888e-06	  4.032373359087e+01	  3.764678706435e-04	  1.062432654848e+01	  1.250660894854e+02	  1.215111925336e+02	  4.515469894047e-01	  1.729621251448e-11	  9.758893363418e-01	  1.588919507241e+00	  1.252165100880e+00	
  1.500000000000e+01	  0.000000000000e+00	  2.250000000000e+02	  8.308859619697e+00	  1.994692508488e-02	  3.215904437516e-02	  4.488059302146e-02	  0.000000000000e+00	  0.000000000000e+00	  1.953246062389e-03	  9.319281908221e-06	  4.104254884401e+01	  3.764982116153e-04	  1.138018454276e+01	  1.253481286978e+02	  1.217807962067e+02	  4.605044427028e-01	  1.725969710869e-11	  9.803240206672e-01	  1.588918443663e+00	  1.255181582106e+00	
  0.000000000000e+00	  1.000000000000e+00	  0.000000000000e+00	  8.301419971637e+00	  1.994692508488e-02	  3.215904437516e-02	  4.488059302146e-02	  0.000000000000e+00	  0.000000000000e+00	  1.861953800614e-03	  0.000000000000e+00	  3.080495245691e+01	  0.000000000000e+00	  0.000000000000e+00	  1.230346106809e+02	  1.196632485611e+02	  3.402945535999e-01	  1.000000000000e-94	  9.457439486236e-01	  1.588927091434e+00	  1.229032336832e+00	
  0.000000000000e+00	  2.000000000000e+00	  0.000000000000e+00	  8.301419971637e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.861953800614e-03	  0.000000000000e+00	  3.080495245691e+01	  0.000000000000e+00	  0.000000000000e+00	  1.230346106809e+02	  1.196632485611e+02	  3.402945535999e-01	  1.000000000000e-94	  9.457439486236e-01	  1.588927091434e+00	  1.229032336832e+00	
  0.000000000000e+00	  3.000000000000e+00	  0.000000000000e+00	  8.301419971637e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.861953800614e-03	  0.000000000000e+00	  3.080495245691e+01	  0.000000000000e+00	  0.000000000000e+00	  1.230346106809e+02	  1.196632485611e+02	  3.402945535999e-01	  1.000000000000e-94	  9.457439486236e-01	  1.588927091434e+00	  1.229032336832e+00	
  0.000000000000e+00	  4.000000000000e+00	  0.000000000000e+00	  8.301419971637e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.861953800614e-03	  0.000000000000e+00	  3.080495245691e+01	  0.000000000000e+00	  0.000000000000e+00	  1.230346106809e+02	  1.196632485611e+02	  3.402945535999e-01	  1.000000000000e-94	  9.457439486236e-01	  1.588927091434e+00	  1.229032336832e+00	
  0.000000000000e+00	  5.000000000000e+00	  0.000000000000e+00	  8.301419971637e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.861953800614e-03	  0.000000000000e+00	  3.080495245691e+01	  0.000000000000e+00	  0.000000000000e+00	  1.230346106809e+02	  1.196632485611e+02	  3.402945535999e-01	  1.000000000000e-94	  9.457439486236e-01	  1.588927091434e+00	  1.229032336832e+00	
  0.000000000000e+00	  6.000000000000e+00	  0.000000000000e+00	  7.319020845127e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.136986646592e-03	  0.000000000000e+00	  1.033051597717e+02	  0.000000000000e+00	  0.000000000000e+00	  4.623072328434e+02	  4.072965874608e+02	  3.354107398915e+00	  1.000000000000e-94	  3.703037073534e-01	  5.021059494307e+01	  4.129040591647e+00	
  0.000000000000e+00	  7.000000000000e+00	  0.000000000000e+00	  7.319020845127e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.136986646592e-03	  0.000000000000e+00	  1.033051597717e+02	  0.000000000000e+00	  0.000000000000e+00	  4.623072328434e+02	  4.072965874608e+02	  3.354107398915e+00	  1.000000000000e-94	  3.703037073534e-01	  5.021059494307e+01	  4.129040591647e+00	
  0.000000000000e+00	  8.000000000000e+00	  0.000000000000e+00	  7.319020845127e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.136986646592e-03	  0.000000000000e+00	  1.033051597717e+02	  0.000000000000e+00	  0.000000000000e+00	  4.623072328434e+02	  4.072965874608e+02	  3.354107398915e+00	  1.000000000000e-94	  3.703037073534e-01	  5.021059494307e+01	  4.129040591647e+00	
  0.000000000000e+00	  9.000000000000e+00	  0.000000000000e+00	  7.319020845127e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.136986646592e-03	  0.000000000000e+00	  1.033051597717e+02	  0.000000000000e+00	  0.000000000000e+00	  4.623072328434e+02	  4.072965874608e+02	  3.354107398915e+00	  1.000000000000e-94	  3.703037073534e-01	  5.021059494307e+01	  4.129040591647e+00	
  0.000000000000e+00	  1.000000000000e+01	  0.000000000000e+00	  7.319020845127e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.136986646592e-03	  0.000000000000e+00	  1.033051597717e+02	  0.000000000000e+00	  0.000000000000e+00	  4.623072328434e+02	  4.072965874608e+02	  3.354107398915e+00	  1.000000000000e-94	  3.703037073534e-01	  5.021059494307e+01	  4.129040591647e+00	
  0.000000000000e+00	  1.100000000000e+01	  0.000000000000e+00	  7.319020845127e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.136986646592e-03	  0.000000000000e+00	  1.033051597717e+02	  0.000000000000e+00	  0.000000000000e+00	  4.623072328434e+02	  4.072965874608e+02	  3.354107398915e+00	  1.000000000000e-94	  3.703037073534e-01	  5.021059494307e+01	  4.129040591647e+00	
  0.000000000000e+00	  1.200000000000e+01	  0.000000000000e+00	  7.319020845127e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.136986646592e-03	  0.000000000000e+00	  1.033051597717e+02	  0.000000000000e+00	  0.000000000000e+00	  4.623072328434e+02	  4.072965874608e+02	  3.354107398915e+00	  1.000000000000e-94	  3.703037073534e-01	  5.021059494307e+01	  4.129040591647e+00	
  0.000000000000e+00	  1.300000000000e+01	  0.000000000000e+00	  7.319020845127e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.136986646592e-03	  0.000000000000e+00	  1.033051597717e+02	  0.000000000000e+00	  0.000000000000e+00	  4.623072328434e+02	  4.072965874608e+02	  3.354107398915e+00	  1.000000000000e-94	  3.703037073534e-01	  5.021059494307e+01	  4.129040591647e+00	
  0.000000000000e+00	  1.400000000000e+01	  0.000000000000e+00	  7.319020845127e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.136986646592e-03	  0.000000000000e+00	  1.033051597717e+02	  0.000000000000e+00	  0.000000000000e+00	  4.623072328434e+02	  4.072965874608e+02	  3.354107398915e+00	  1.000000000000e-94	  3.703037073534e-01	  5.021059494307e+01	  4.129040591647e+00	
  0.000000000000e+00	  1.500000000000e+01	  0.000000000000e+00	  7.319020845127e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.136986646592e-03	  0.000000000000e+00	  1.033051597717e+02	  0.000000000000e+00	  0.000000000000e+00	  4.623072328434e+02	  4.072965874608e+02	  3.354107398915e+00	  1.000000000000e-94	  3.703037073534e-01	  5.021059494307e+01	  4.129040591647e+00	
  0.000000000000e+00	  1.600000000000e+01	  0.000000000000e+00	  7.319020845127e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.136986646592e-03	  0.000000000000e+00	  1.033051597717e+02	  0.000000000000e+00	  0.000000000000e+00	  4.623072328434e+02	  4.072965874608e+02	  3.354107398915e+00	  1.000000000000e-94	  3.703037073534e-01	  5.021059494307e+01	  4.129040591647e+00	
  0.000000000000e+00	  1.700000000000e+01	  0.000000000000e+00	  7.319020845127e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.136986646592e-03	  0.000000000000e+00	  1.033051597717e+02	  0.000000000000e+00	  0.000000000000e+00	  4.623072328434e+02	  4.072965874608e+02	  3.354107398915e+00	  1.000000000000e-94	  3.703037073534e-01	  5.021059494307e+01	  4.129040591647e+00	
  0.000000000000e+00	  1.800000000000e+01	  0.000000000000e+00	  7.319020845127e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.136986646592e-03	  0.000000000000e+00	  1.033051597717e+02	  0.000000000000e+00	  0.000000000000e+00	  4.623072328434e+02	  4.072965874608e+02	  3.354107398915e+00	  1.000000000000e-94	  3.703037073534e-01	  5.021059494307e+01	  4.129040591647e+00	
  0.000000000000e+00	  1.900000000000e+01	  0.000000000000e+00	  7.319020845127e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.136986646592e-03	  0.000000000000e+00	  1.033051597717e+02	  0.000000000000e+00	  0.000000000000e+00	  4.623072328434e+02	  4.072965874608e+02	  3.354107398915e+00	  1.000000000000e-94	  3.703037073534e-01	  5.021059494307e+01	  4.129040591647e+00	
  0.000000000000e+00	  2.000000000000e+01	  0.000000000000e+00	  7.319020845127e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.136986646592e-03	  0.000000000000e+00	  1.033051597717e+02	  0.000000000000e+00	  0.000000000000e+00	  4.623072328434e+02	  4.072965874608e+02	  3.354107398915e+00	  1.000000000000e-94	  3.703037073534e-01	  5.021059494307e+01	  4.129040591647e+00	
