               shift	                cell	              time_d	                  pH	             Olivine	           Enstatite	           Lizardite	           Magnesite	          Chalcedony	             Fe(OH)3	       Rhodochrosite	                  Mg	                  Fe	                  Si	                   C	                HCO3	              MgHCO3	              FeHCO3	                 CO3	               CO2aq	          alkalinity	
  9.000000000000e+00	  0.000000000000e+00	  1.350000000000e+02	  8.424892999972e+00	  1.543359981409e-02	  3.209855987058e-02	  4.448456028911e-02	  8.805522449710e-03	  5.230951005667e-03	  1.098779031336e-03	  5.482189171001e-04	  6.694959540967e+01	  3.692359115090e-03	  3.092175153737e+01	  1.345943497210e+02	  1.298315744809e+02	  8.225767329646e-01	  7.089803871465e-11	  1.953454475181e+00	  1.019957610642e+00	  1.381876635544e+00	
  1.000000000000e+01	  0.000000000000e+00	  1.500000000000e+02	  8.424892999838e+00	  1.497187667035e-02	  3.209174074682e-02	  4.443994432508e-02	  9.764559345522e-03	  5.795544451226e-03	  1.210674826648e-03	  6.041668152749e-04	  6.694959545204e+01	  3.692359114879e-03	  3.092175153697e+01	  1.345943496810e+02	  1.298315744418e+02	  8.225767332245e-01	  7.089803873704e-11	  1.953454474033e+00	  1.019957610642e+00	  1.381876635128e+00	
  1.100000000000e+01	  0.000000000000e+00	  1.650000000000e+02	  8.424892999715e+00	  1.451950100017e-02	  3.208492259375e-02	  4.439535835198e-02	  1.070669109262e-02	  6.350728489874e-03	  1.320688888209e-03	  6.591738464917e-04	  6.694959549101e+01	  3.692359114685e-03	  3.092175153661e+01	  1.345943496442e+02	  1.298315744058e+02	  8.225767334634e-01	  7.089803875764e-11	  1.953454472978e+00	  1.019957610642e+00	  1.381876634746e+00	
  1.200000000000e+01	  0.000000000000e+00	  1.800000000000e+02	  8.424892999602e+00	  1.407637580216e-02	  3.207810541129e-02	  4.435080235955e-02	  1.163209232045e-02	  6.896600143716e-03	  1.428840620407e-03	  7.132497129568e-04	  6.694959552660e+01	  3.692359114508e-03	  3.092175153627e+01	  1.345943496107e+02	  1.298315743730e+02	  8.225767336818e-01	  7.089803877645e-11	  1.953454472013e+00	  1.019957610642e+00	  1.381876634396e+00	
  1.300000000000e+01	  0.000000000000e+00	  1.950000000000e+02	  8.424892999500e+00	  1.364240410484e-02	  3.207128919937e-02	  4.430627633759e-02	  1.254093760466e-02	  7.433256404950e-03	  1.535149421651e-03	  7.664041138981e-04	  6.694959555886e+01	  3.692359114348e-03	  3.092175153597e+01	  1.345943495802e+02	  1.298315743432e+02	  8.225767338796e-01	  7.089803879351e-11	  1.953454471139e+00	  1.019957610642e+00	  1.381876634080e+00	
  1.400000000000e+01	  0.000000000000e+00	  2.100000000000e+02	  8.424892999409e+00	  1.321748896693e-02	  3.206447395793e-02	  4.426178027583e-02	  1.343340146647e-02	  7.960794235565e-03	  1.639634684305e-03	  8.186467455311e-04	  6.694959558783e+01	  3.692359114204e-03	  3.092175153570e+01	  1.345943495529e+02	  1.298315743165e+02	  8.225767340573e-01	  7.089803880882e-11	  1.953454470354e+00	  1.019957610642e+00	  1.381876633795e+00	
  1.500000000000e+01	  0.000000000000e+00	  2.250000000000e+02	  8.424892999328e+00	  1.280153347767e-02	  3.205765968688e-02	  4.421731416407e-02	  1.430965837224e-02	  8.479310567040e-03	  1.742315794633e-03	  8.699873010061e-04	  6.694959561353e+01	  3.692359114076e-03	  3.092175153545e+01	  1.345943495286e+02	  1.298315742928e+02	  8.225767342149e-01	  7.089803882240e-11	  1.953454469658e+00	  1.019957610642e+00	  1.381876633543e+00	
  0.000000000000e+00	  1.000000000000e+00	  0.000000000000e+00	  8.271194822698e+00	  1.280153347767e-02	  3.205765968688e-02	  4.421731416407e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  2.349078234662e+01	  0.000000000000e+00	  0.000000000000e+00	  9.306528003464e+01	  9.040527941783e+01	  2.094897514821e-01	  1.000000000000e-94	  9.320361588848e-01	  1.020058428863e+00	  9.364680429716e-01	
  0.000000000000e+00	  2.000000000000e+00	  0.000000000000e+00	  8.271194822698e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  2.349078234662e+01	  0.000000000000e+00	  0.000000000000e+00	  9.306528003464e+01	  9.040527941783e+01	  2.094897514821e-01	  1.000000000000e-94	  9.320361588848e-01	  1.020058428863e+00	  9.364680429716e-01	
  0.000000000000e+00	  3.000000000000e+00	  0.000000000000e+00	  8.140204299757e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  2.741774393304e+01	  0.000000000000e+00	  0.000000000000e+00	  1.095454190829e+02	  1.063015671517e+02	  2.839577065221e-01	  1.000000000000e-94	  8.180954295578e-01	  1.616624914903e+00	  1.093546503222e+00	
