               shift	                cell	              time_d	                  pH	             Olivine	           Enstatite	           Lizardite	           Magnesite	          Chalcedony	             Fe(OH)3	       Rhodochrosite	                  Mg	                  Fe	                  Si	                   C	                HCO3	              MgHCO3	              FeHCO3	                 CO3	               CO2aq	          alkalinity	
  1.000000000000e+01	  0.000000000000e+00	  1.500000000000e+02	  8.401023641781e+00	  1.974952577729e-02	  3.215656202268e-02	  4.486503410156e-02	  0.000000000000e+00	  3.877921239309e-05	  6.890415866191e-05	  3.321704201605e-05	  6.225928942419e+01	  3.654040969685e-03	  3.085096952947e+01	  1.270592862713e+02	  1.227272380383e+02	  7.282117807785e-01	  7.480166178682e-11	  1.740932908066e+00	  1.019975578449e+00	  1.302162005068e+00	
  1.100000000000e+01	  0.000000000000e+00	  1.650000000000e+02	  8.424893001549e+00	  1.972189298618e-02	  3.215622041556e-02	  4.486276638826e-02	  2.349818472368e-06	  7.092305818453e-05	  7.542282083399e-05	  3.654080626193e-05	  6.694959491062e+01	  3.692359117572e-03	  3.092175154206e+01	  1.345943501919e+02	  1.298315749413e+02	  8.225767299038e-01	  7.089803845086e-11	  1.953454488704e+00	  1.019957610644e+00	  1.381876640444e+00	
  1.200000000000e+01	  0.000000000000e+00	  1.800000000000e+02	  8.424893001538e+00	  1.969442191343e-02	  3.215587904168e-02	  4.486052228664e-02	  5.822984110159e-05	  1.035650930174e-04	  8.190001950375e-05	  3.977940568057e-05	  6.694959491434e+01	  3.692359117553e-03	  3.092175154203e+01	  1.345943501884e+02	  1.298315749379e+02	  8.225767299266e-01	  7.089803845282e-11	  1.953454488604e+00	  1.019957610644e+00	  1.381876640408e+00	
  1.300000000000e+01	  0.000000000000e+00	  1.950000000000e+02	  8.424893001526e+00	  1.966697649007e-02	  3.215553767023e-02	  4.485827826023e-02	  1.140634949616e-04	  1.361813231480e-04	  8.837205760287e-05	  4.301542476701e-05	  6.694959491804e+01	  3.692359117535e-03	  3.092175154199e+01	  1.345943501849e+02	  1.298315749345e+02	  8.225767299494e-01	  7.089803845478e-11	  1.953454488503e+00	  1.019957610644e+00	  1.381876640371e+00	
  1.400000000000e+01	  0.000000000000e+00	  2.100000000000e+02	  8.424893001514e+00	  1.963955670395e-02	  3.215519630121e-02	  4.485603430903e-02	  1.698508019412e-04	  1.687717607375e-04	  9.483893756356e-05	  4.624886480480e-05	  6.694959492174e+01	  3.692359117516e-03	  3.092175154196e+01	  1.345943501814e+02	  1.298315749311e+02	  8.225767299721e-01	  7.089803845674e-11	  1.953454488403e+00	  1.019957610644e+00	  1.381876640335e+00	
  1.500000000000e+01	  0.000000000000e+00	  2.250000000000e+02	  8.424893001503e+00	  1.961216254291e-02	  3.215485493461e-02	  4.485379043304e-02	  2.255917839288e-04	  2.013364179470e-04	  1.013006618180e-04	  4.947972699813e-05	  6.694959492543e+01	  3.692359117498e-03	  3.092175154192e+01	  1.345943501779e+02	  1.298315749277e+02	  8.225767299947e-01	  7.089803845869e-11	  1.953454488303e+00	  1.019957610644e+00	  1.381876640299e+00	
  0.000000000000e+00	  1.000000000000e+00	  0.000000000000e+00	  8.271194822698e+00	  1.961216254291e-02	  3.215485493461e-02	  4.485379043304e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  2.349078234662e+01	  0.000000000000e+00	  0.000000000000e+00	  9.306528003464e+01	  9.040527941783e+01	  2.094897514821e-01	  1.000000000000e-94	  9.320361588848e-01	  1.020058428863e+00	  9.364680429716e-01	
  0.000000000000e+00	  2.000000000000e+00	  0.000000000000e+00	  8.271194822698e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  2.349078234662e+01	  0.000000000000e+00	  0.000000000000e+00	  9.306528003464e+01	  9.040527941783e+01	  2.094897514821e-01	  1.000000000000e-94	  9.320361588848e-01	  1.020058428863e+00	  9.364680429716e-01	
  0.000000000000e+00	  3.000000000000e+00	  0.000000000000e+00	  8.140204299757e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  2.741774393304e+01	  0.000000000000e+00	  0.000000000000e+00	  1.095454190829e+02	  1.063015671517e+02	  2.839577065221e-01	  1.000000000000e-94	  8.180954295578e-01	  1.616624914903e+00	  1.093546503222e+00	
  0.000000000000e+00	  4.000000000000e+00	  0.000000000000e+00	  8.140204299757e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  2.741774393304e+01	  0.000000000000e+00	  0.000000000000e+00	  1.095454190829e+02	  1.063015671517e+02	  2.839577065221e-01	  1.000000000000e-94	  8.180954295578e-01	  1.616624914903e+00	  1.093546503222e+00	
  0.000000000000e+00	  5.000000000000e+00	  0.000000000000e+00	  8.009092947662e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  3.206286791300e+01	  0.000000000000e+00	  0.000000000000e+00	  1.292172605239e+02	  1.249901316268e+02	  3.850974607368e-01	  1.000000000000e-94	  7.184215489590e-01	  2.562066669859e+00	  1.279351459063e+00	
  0.000000000000e+00	  6.000000000000e+00	  0.000000000000e+00	  8.009092947662e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  3.206286791300e+01	  0.000000000000e+00	  0.000000000000e+00	  1.292172605239e+02	  1.249901316268e+02	  3.850974607368e-01	  1.000000000000e-94	  7.184215489590e-01	  2.562066669859e+00	  1.279351459063e+00	
  0.000000000000e+00	  7.000000000000e+00	  0.000000000000e+00	  7.877931958438e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  3.755656606206e+01	  0.000000000000e+00	  0.000000000000e+00	  1.528120510121e+02	  1.469867966552e+02	  5.224513479359e-01	  1.000000000000e-94	  6.314262365935e-01	  4.060391205476e+00	  1.499099381697e+00	
  0.000000000000e+00	  8.000000000000e+00	  0.000000000000e+00	  7.877931958438e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  3.755656606206e+01	  0.000000000000e+00	  0.000000000000e+00	  1.528120510121e+02	  1.469867966552e+02	  5.224513479359e-01	  1.000000000000e-94	  6.314262365935e-01	  4.060391205476e+00	  1.499099381697e+00	
  0.000000000000e+00	  9.000000000000e+00	  0.000000000000e+00	  7.746776119192e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  4.405515525892e+01	  0.000000000000e+00	  0.000000000000e+00	  1.812828566375e+02	  1.729051844601e+02	  7.089695651716e-01	  1.000000000000e-94	  5.556065939737e-01	  6.434885028727e+00	  1.759042946606e+00	
  0.000000000000e+00	  1.000000000000e+01	  0.000000000000e+00	  7.746776119192e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  4.405515525892e+01	  0.000000000000e+00	  0.000000000000e+00	  1.812828566375e+02	  1.729051844601e+02	  7.089695651716e-01	  1.000000000000e-94	  5.556065939737e-01	  6.434885028727e+00	  1.759042946606e+00	
  0.000000000000e+00	  1.100000000000e+01	  0.000000000000e+00	  7.615668463605e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  5.174615046491e+01	  0.000000000000e+00	  0.000000000000e+00	  2.158956766208e+02	  2.034764019595e+02	  9.622234386307e-01	  1.000000000000e-94	  4.895827198029e-01	  1.019783738199e+01	  2.066682752818e+00	
  0.000000000000e+00	  1.200000000000e+01	  0.000000000000e+00	  7.615668463605e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  5.174615046491e+01	  0.000000000000e+00	  0.000000000000e+00	  2.158956766208e+02	  2.034764019595e+02	  9.622234386307e-01	  1.000000000000e-94	  4.895827198029e-01	  1.019783738199e+01	  2.066682752818e+00	
